bookId	IVchapterId	IVverseId	IVverseText	KJVchapterId	KJVverseId	KJVverseText
1	1	1	<b>And it came to pass that the Lord spake unto Moses, saying, Behold, I reveal unto you concerning this heaven and this earth; write the words which I speak.</b>	null	null	
1	1	2	<b>I am the Beginning and the End, the Almighty God. By mine Only Begotten I created these things.</b>	null	null	
1	1	3	<b>Yea</b>, in the beginning <b>I</b> created the heaven and the earth <b>upon which thou standest.</b>	1	1	In the beginning <b>God</b> created the heaven and the earth.
1	1	4	And the earth was without form and void; and <b>I caused</b> darkness <b>to come up</b> upon the face of the deep. 1:5 And <b>my</b> Spirit moved upon the face of the waters, <b>for I am God.</b>	1	2	And the earth was without form, and void; and darkness <b>was</b> upon the face of the deep. And <b>the</b> Spirit <b>of God</b> moved upon the face of the waters.
1	1	6	And <b>I,</b> God, said, Let there be light; and there was light.	1	3	And God said, Let there be light: and there was light.
1	1	7	And <b>I,</b> God, saw the light, and that <b>light</b> was good. And <b>I</b>, God, divided the light from the darkness.	1	4	And God saw the light, that <b>it</b> was good: and God divided the light from the darkness.
1	1	8	And <b>I,</b> God, called the light day, and the darkness <b>I</b> called night. <b>And this I did by the word of my power; and it was done as I spake.</b> And the evening and the morning were the first day.	1	5	And God called the light Day, and the darkness <b>he</b> called Night. And the evening and the morning were the first day.
1	1	9	And <b>again, I</b>, God, said, Let there be a firmament in the midst of the waters; and<b> it was so, even as I spake. And I said,</b> Let it divide the waters from the waters; <b>and it was done.</b>	1	6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
1	1	10	And <b>I</b>, God, made the firmament and divided the waters, <b>yea, the great waters</b> under the firmament from the waters which were above the firmament; and it was so, <b>even as I spake.</b>	1	7	And God made the firmament, and divided the waters <b>which were</b> under the firmament from the waters which were above the firmament: and it was so.
1	1	11	And <b>I</b>, God, called the firmament heaven. And the evening and the morning were the second day.	1	8	And God called the firmament Heaven. And the evening and the morning were the second day.
1	1	12	And <b>I,</b> God, said, Let the waters under the heaven be gathered together unto one place; and <b>it was so. And I, God, said</b>, Let <b>there be</b> dry land; and it was so.	1	9	And God said, Let the waters under the heaven be gathered together unto one place, and let <b>the</b> dry land <b>appear</b>: and it was so.
1	1	13	And <b>I</b>, God, called the dry land earth; and the gathering together of the waters called <b>I</b> the <b>sea</b>. 1:14 And <b>I</b>, God, saw that <b>all things which I had made were</b> good.	1	10	And God called the dry land Earth; and the gathering together of the waters called the <b>Seas</b>: and God saw that <b>it was</b> good.
1	1	15	And <b>I,</b> God, said, Let the earth bring forth grass, the herb yielding seed, the fruit tree yielding fruit after his kind, <b>and the tree yielding fruit</b>, whose seed <b>should be</b> in itself upon the earth; and it was so, <b>even as I spake.</b>	1	11	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed <b>is</b> in itself, upon the earth: and it was so.
1	1	16	And the earth brought forth grass, <b>every</b> herb yielding seed after his kind, and the tree yielding fruit, whose seed <b>should be</b> in itself after his kind. 1:17 And <b>I,</b> God, saw that <b>all things which I had made were</b> good.	1	12	And the earth brought forth grass, <b>and</b> herb yielding seed after his kind, and the tree yielding fruit, whose seed <b>was</b> in itself, after his kind: and God saw that <b>it was</b> good.
1	null	null	And the evening and the morning were the third day.	1	13	And the evening and the morning were the third day.
1	1	18	And <b>I</b>, God, said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs and for seasons, and for days and <b>for</b> years,	1	14	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:
1	null	null	and let them be for lights in the firmament of the heaven to give light upon the earth; and it was so.	1	15	And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
